date read,tank,sample location,dilution X,R2A media,half plate count TSA W SB,full plate,comments,hours,count x dil,sample size,total CFU,assumed sys health,comments,Bactiquant value,
3/1/17,E1,,10,,2,4,swab,20,40,.1 ml, 400 ,,,,
3/1/17,E2,,10,,7,14,swab,20,140,.1 ml," 1,400 ",,,,
3/1/17,E3,,10,,2,4,swab,20,40,.1 ml, 400 ,,,,
3/1/17,E4,,10,,5,10,swab,20,100,.1 ml," 1,000 ",,,,
3/1/17,F1,,10,,23,46,swab,20,460,.1 ml," 4,600 ",,,,
3/1/17,F2,,10,,5,10,swab,20,100,.1 ml," 1,000 ",,,,
3/1/17,F3,,10,,67,134,swab,20,1340,.1 ml," 13,400 ",,,,
3/1/17,F4,,10,,14,28,swab,20,280,.1 ml," 2,800 ",,,,
3/2/17,B1,,10,,26,52,swab,20,520,.1 ml," 5,200 ",,,,
3/2/17,B2,,10,,10,20,swab,20,200,.1 ml," 2,000 ",,,,
3/2/17,B4,,10,,20,40,swab,20,400,.1 ml," 4,000 ",,,,
3/2/17,B5,,10,,13,26,swab,20,260,.1 ml," 2,600 ",,,,
3/2/17,B6,,10,,7,14,swab,20,140,.1 ml," 1,400 ",,,,
3/2/17,B7,,10,,21,42,swab,20,420,.1 ml," 4,200 ",,,,
3/16/17,B Bio,,10,688,,1552,spreader method,20,15520,.1 ml," 155,200 ",,,,
3/16/17,B pH port,,10,496,,928,spreader method,20,9280,.1 ml," 92,800 ",,,,
3/16/17,B3,,10,397,,2280,spreader method,20,22800,.1 ml," 228,000 ",,,,
3/16/17,B5,,10,504,,2704,spreader method,20,27040,.1 ml," 270,400 ",,,,
3/21/17,B Bio,,10,,,308,spreader method,20,3080,.1 ml," 30,800 ",,,,
3/21/17,B pH port,,10,,,59,spreader method,20,590,.1 ml," 5,900 ",,,,
3/21/17,B3,,10,,,28,spreader method,20,280,.1 ml," 2,800 ",,,,
3/21/17,B5,,10,,,158,spreader method,20,1580,.1 ml," 15,800 ",,,,
3/21/17,F1 tank in,,10,,,272,,20,2720,.1 ml," 27,200 ",,,,
3/21/17,F1 tank out,,10,,,288,56,20,2880,.1 ml," 28,800 ",,,,
3/29/17,A high ,,10,,,97,spreader method,20,970,.1 ml," 9,700 ",1,found door to incubator opened time undetermined,,
3/29/17,A low ,,10,,,3,spreader method,20,30,.1 ml, 300 ,1,found door to incubator opened time undetermined,,
3/29/17,A Tank 6,,10,,,9,spreader method,20,90,.1 ml, 900 ,1,found door to incubator opened time undetermined,,
3/29/17,B high ,,10,,,338,spreader method,20,3380,.1 ml," 33,800 ",3,found door to incubator opened time undetermined,,
3/29/17,B low ,,10,,,223,spreader method,20,2230,.1 ml," 22,300 ",3,found door to incubator opened time undetermined,,
3/29/17,B Tank 5,,10,,,664,spreader method,20,6640,.1 ml," 66,400 ",3,found door to incubator opened time undetermined,,
3/29/17,C high ,,10,,,148,spreader method,20,1480,.1 ml," 14,800 ",1,found door to incubator opened time undetermined,,
3/29/17,C low ,,10,,,42,spreader method,20,420,.1 ml," 4,200 ",1,found door to incubator opened time undetermined,,
3/29/17,C Tank 1,,10,,,70,spreader method,20,700,.1 ml," 7,000 ",1,found door to incubator opened time undetermined,,
3/29/17,D high ,,10,,,268,spreader method,20,2680,.1 ml," 26,800 ",1,found door to incubator opened time undetermined,,
3/29/17,D low ,,10,,,124,spreader method,20,1240,.1 ml," 12,400 ",1,found door to incubator opened time undetermined,,
3/29/17,D Tank 3,,10,,,1792,spreader method,20,17920,.1 ml," 179,200 ",1,found door to incubator opened time undetermined,,
3/29/17,E high ,,10,,,512,spreader method,20,5120,.1 ml," 51,200 ",2,found door to incubator opened time undetermined,,
3/29/17,E low ,,10,,,96,spreader method,20,960,.1 ml," 9,600 ",2,found door to incubator opened time undetermined,,
3/29/17,E Tank 3,,10,,,278,spreader method,20,2780,.1 ml," 27,800 ",2,found door to incubator opened time undetermined,,
3/29/17,F high ,,10,,,1328,spreader method,20,13280,.1 ml," 132,800 ",2,found door to incubator opened time undetermined,,
3/29/17,F low ,,10,,,992,spreader method,20,9920,.1 ml," 99,200 ",2,found door to incubator opened time undetermined,,
3/29/17,F Tank 2,,10,,,400,spreader method,20,4000,.1 ml," 40,000 ",2,found door to incubator opened time undetermined,,
3/29/17,P1 high ,,10,,,632,spreader method,20,6320,.1 ml," 63,200 ",2,found door to incubator opened time undetermined,,
3/29/17,P1 low ,,10,,,418,spreader method,20,4180,.1 ml," 41,800 ",2,found door to incubator opened time undetermined,,
3/29/17,P1 Tank ,,10,,,312,spreader method,20,3120,.1 ml," 31,200 ",2,found door to incubator opened time undetermined,,
3/29/17,P2 high ,,10,,,896,spreader method,20,8960,.1 ml," 89,600 ",2,found door to incubator opened time undetermined,,
3/29/17,P2 low ,,10,,,368,spreader method,20,3680,.1 ml," 36,800 ",2,found door to incubator opened time undetermined,,
3/29/17,P2 Tank ,,10,,,696,spreader method,20,6960,.1 ml," 69,600 ",2,found door to incubator opened time undetermined,,
3/29/17,P6 high ,,10,,,216,spreader method,20,2160,.1 ml," 21,600 ",2,found door to incubator opened time undetermined,,
3/29/17,P6 low ,,10,,,336,spreader method,20,3360,.1 ml," 33,600 ",2,found door to incubator opened time undetermined,,
3/29/17,P6 Tank ,,10,,,416,spreader method,20,4160,.1 ml," 41,600 ",2,found door to incubator opened time undetermined,,
3/29/17,P7 Tank ,,10,,,66,spreader method,20,660,.1 ml," 6,600 ",1,found door to incubator opened time undetermined,,
4/5/17,A bio,,10,,,100,spreader method,,1000,,10000,1,found door to incubator opened time undetermined,,
4/5/17,A high ,,10,,,172,spreader method,,1720,,17200,1,found door to incubator opened time undetermined,,
4/5/17,A low ,,10,,,52,spreader method,,520,,5200,1,found door to incubator opened time undetermined,,
4/5/17,A Pre UV,,10,,,164,spreader method,,1640,,16400,1,found door to incubator opened time undetermined,-1,
4/5/17,A Tank 6,,10,,,88,spreader method,,880,,8800,1,found door to incubator opened time undetermined,,
4/5/17,A Tank inlet,,10,,,2,spreader method,,20,,200,1,found door to incubator opened time undetermined,,
4/5/17,b bio,,10,,,136,spreader method,,1360,,13600,2,found door to incubator opened time undetermined,,
4/5/17,B high ,,10,,,108,spreader method,,1080,,10800,2,found door to incubator opened time undetermined,,
4/5/17,B low ,,10,,,24,spreader method,,240,,2400,2,found door to incubator opened time undetermined,,
4/5/17,B sump post drum,,10,,,212,spreader method,,2120,,21200,2,found door to incubator opened time undetermined,,
4/5/17,B Tank 1,,10,,,208,spreader method,,2080,,20800,2,found door to incubator opened time undetermined,,
4/5/17,c bio,,10,,,624,spreader method,,6240,,62400,1,found door to incubator opened time undetermined,,
4/5/17,C high ,,10,,,124,spreader method,,1240,,12400,1,found door to incubator opened time undetermined,,
4/5/17,C low ,,10,,,62,spreader method,,620,,6200,1,found door to incubator opened time undetermined,,
4/5/17,C Sump post drum,,10,,,368,spreader method,,3680,,36800,1,found door to incubator opened time undetermined,,
4/5/17,C Tank 2,,10,,,184,spreader method,,1840,,18400,1,found door to incubator opened time undetermined,,
4/5/17,D high ,,10,,,592,spreader method,,5920,,59200,2,found door to incubator opened time undetermined,,
4/5/17,D low ,,10,,,128,spreader method,,1280,,12800,2,found door to incubator opened time undetermined,,
4/5/17,D sump post drum,,10,,,344,spreader method,,3440,,34400,2,found door to incubator opened time undetermined,,
4/5/17,D Tank 3,,10,,,4822,spreader method,,48220,,482200,2,found door to incubator opened time undetermined,,
4/5/17,D top of Bio,,10,,,208,spreader method,,2080,,20800,2,found door to incubator opened time undetermined,,
4/5/17,E Bio North,,10,,,672,spreader method,,6720,,67200,3,found door to incubator opened time undetermined,,
4/5/17,E Bio South,,10,,,48,spreader method,,480,,4800,3,found door to incubator opened time undetermined,,
4/5/17,E high ,,10,,,240,spreader method,,2400,,24000,3,found door to incubator opened time undetermined,,
4/5/17,E low ,,10,,,136,spreader method,,1360,,13600,3,found door to incubator opened time undetermined,,
4/5/17,E return to tanks,,10,,,132,spreader method,,1320,,13200,3,found door to incubator opened time undetermined,,
4/5/17,E sump post drum,,10,,,408,spreader method,,4080,,40800,3,found door to incubator opened time undetermined,,
4/5/17,E Tank 3,,10,,,744,spreader method,,7440,,74400,3,found door to incubator opened time undetermined,,
4/5/17,F Bio North,,10,,,3744,spreader method,,37440,,374400,3,found door to incubator opened time undetermined,,
4/5/17,F Bio South,,10,,,2112,spreader method,,21120,,211200,3,found door to incubator opened time undetermined,,
4/5/17,F high ,,10,,,5504,spreader method,,55040,,550400,3,found door to incubator opened time undetermined,,
4/5/17,F low ,,10,,,2144,spreader method,,21440,,214400,3,found door to incubator opened time undetermined,,
4/5/17,F return to tanks,,10,,,2528,spreader method,,25280,,252800,3,found door to incubator opened time undetermined,,
4/5/17,F Sump post Drum,,10,,,1696,spreader method,,16960,,169600,3,found door to incubator opened time undetermined,,
4/5/17,F Tank 2,,10,,,2976,spreader method,,29760,,297600,3,found door to incubator opened time undetermined,,
4/5/17,Gooseneck tank,,10,,,858,spreader method,,8580,,85800,1,found door to incubator opened time undetermined,,
4/5/17,P1 high ,,10,,,3938,spreader method,,39380,,393800,2,found door to incubator opened time undetermined,,
4/5/17,P1 low ,,10,,,3104,spreader method,,31040,,310400,2,found door to incubator opened time undetermined,,
4/5/17,P1 Tank ,,10,,,7008,spreader method,,70080,,700800,2,found door to incubator opened time undetermined,,
4/5/17,P2 high ,,10,,,168,spreader method,,1680,,16800,1,found door to incubator opened time undetermined,,
4/5/17,P2 low ,,10,,,36,spreader method,,360,,3600,1,found door to incubator opened time undetermined,,
4/5/17,P2 Tank ,,10,,,124,spreader method,,1240,,12400,1,found door to incubator opened time undetermined,,
4/5/17,P5.5 Town Sump,,10,,,312,spreader method,,3120,,31200,1,found door to incubator opened time undetermined,,
4/5/17,P5.5 Well Sump,,10,,,296,spreader method,,2960,,29600,,found door to incubator opened time undetermined,,
4/5/17,P6 high ,,10,,,584,spreader method,,5840,,58400,2,,,
4/5/17,P6 low ,,10,,,256,spreader method,,2560,,25600,2,,,
4/5/17,P6 Tank ,,10,,,208,spreader method,,2080,,20800,2,found door to incubator opened time undetermined,,
4/5/17,P7 High,,10,,,40,spreader method,,400,,4000,1,found door to incubator opened time undetermined,,
4/5/17,P7 low,,10,,,64,spreader method,,640,,6400,1,found door to incubator opened time undetermined,,
4/5/17,P7 Tank ,,10,,,48,spreader method,,480,,4800,1,found door to incubator opened time undetermined,,
4/5/17,well 2,,1,,,2,spreader method,,2,,20,,found door to incubator opened time undetermined,,
4/5/17,well 3,,1,,,48,spreader method,,48,,480,,found door to incubator opened time undetermined,,
4/6/17,E Bio North,,10,,,304,spreader method,,3040,,30400,,,,
4/6/17,E Bio South,,10,,,64,spreader method,,640,,6400,,,,
4/12/17,A high ,,10,,,200,,,2000,,20000,,,,
4/12/17,A low ,,10,,,3,,,30,,300,,,,
4/12/17,A Tank 6,,10,,,108,,,1080,,10800,,,,
4/12/17,B high ,,10,,,128,,,1280,,12800,,,,
4/12/17,B low ,,10,,,0,,,0,,0,,,,
4/12/17,B Tank 6,,10,,,98,,,980,,9800,,,,
4/12/17,C high ,,10,,,138,,,1380,,13800,,,,
4/12/17,C low ,,10,,,128,,,1280,,12800,,,,
4/12/17,C Tank 1,,10,,,168,,,1680,,16800,,No floc no zone,,
4/12/17,D high ,,10,,,560,,,5600,,56000,,,,
4/12/17,D low ,,10,,,420,,,4200,,42000,,,,
4/12/17,D Tank 3,,10,,,848,,,8480,,84800,,,,
4/12/17,E Bio North,,10,,,296,,,2960,,29600,,,,
4/12/17,E Bio South,,10,,,68,,,680,,6800,,,,
4/12/17,E high ,,10,,,136,,,1360,,13600,,,,
4/12/17,E low ,,10,,,92,,,920,,9200,,,,
4/12/17,E Tank 3,,10,,,112,,,1120,,11200,,,,
4/12/17,F high ,,10,,,1264,,,12640,,126400,,,,
4/12/17,F low ,,10,,,1104,,,11040,,110400,,1/3 of last week still high,,
4/12/17,F Tank 2,,10,,,1296,,,12960,,129600,,,,
4/12/17,P1 Bio overflow/top,,10,,,36,,,360,,3600,,,,
4/12/17,P1 high ,,10,,,64,,,640,,6400,,,,
4/12/17,P1 low ,,10,,,68,,,680,,6800,,way down from last week,,
4/12/17,P1 Sump post drum,,10,,,68,,,680,,6800,,,,
4/12/17,P1 Tank ,,10,,,92,,,920,,9200,,,,
4/12/17,P2 Bio overflow/top,,10,,,148,,,1480,,14800,,,,
4/12/17,P2 high ,,10,,,48,,,480,,4800,,,,
4/12/17,P2 low ,,10,,,72,,,720,,7200,,,,
4/12/17,P2 Sump post drum,,10,,,132,,,1320,,13200,,,,
4/12/17,P2 Tank ,,10,,,72,,,720,,7200,,,,
4/12/17,P5.5 Town Sump,,10,,,1250,,,12500,,125000,,,,
4/12/17,P5.5 Well Sump,,10,,,1520,,,15200,,152000,,bacteria increase,,
4/12/17,P6 Bio overflow/top,,10,,,40,,,400,,4000,,,,
4/12/17,P6 high ,,10,,,168,,,1680,,16800,,,,
4/12/17,P6 low ,,10,,,128,,,1280,,12800,,,,
4/12/17,P6 Sump post drum,,10,,,168,,,1680,,16800,,,,
4/12/17,P6 Tank ,,10,,,32,,,320,,3200,,,,
4/12/17,P7 Bio overflow/top,,10,,,1156,,,11560,,115600,,,,
4/12/17,P7 High,,10,,,424,,,4240,,42400,,getting high,,
4/12/17,P7 low,,10,,,820,,,8200,,82000,,bacteria increase,,
4/12/17,P7 Sump post drum,,10,,,1312,,,13120,,131200,,no reduction ,,
4/12/17,P7 Tank ,,10,,,976,,,9760,,97600,,water quality detiriorated?,,
4/12/17,,,,,,,,,0,,0,,water quality detiriorated?,,
4/19/17,A high ,,10,,,336,,,3360,,33600,,,,
4/19/17,A low ,,10,,,3,,,30,,300,,,,
4/19/17,A Tank 1,,10,,,48,,,480,,4800,,,,
4/19/17,B high ,,10,,,3392,,,33920,,339200,,"system empty of fish, and sterilized recently",,
4/19/17,B low ,,10,,,2432,,,24320,,243200,,,,
4/19/17,B Tank 1,,10,,,1152,,,11520,,115200,,,,
4/19/17,C high ,,10,,,1008,,,10080,,100800,,,,
4/19/17,C low ,,10,,,768,,,7680,,76800,,,,
4/19/17,C Tank 1,,10,,,1280,,,12800,,128000,,,,
4/19/17,D high ,,10,,,208,,,2080,,20800,,,,
4/19/17,D low ,,10,,,52,,,520,,5200,,,,
4/19/17,D Tank 3,,10,,,208,,,2080,,20800,,,,
4/19/17,E high ,,10,,,192,,,1920,,19200,,,,
4/19/17,E low ,,10,,,72,,,720,,7200,,,,
4/19/17,E Tank 2,,10,,,124,,,1240,,12400,,,,
4/19/17,F high ,,10,,,2016,,,20160,,201600,,,,
4/19/17,F low ,,10,,,1998,,,19980,,199800,,,,
4/19/17,F Tank 2,,10,,,1520,,,15200,,152000,,,,
4/19/17,Gooseneck tank,,10,,,1008,,,10080,,100800,,,,
4/19/17,P1 high ,,10,,,88,,,880,,8800,,,,
4/19/17,P1 low ,,10,,,78,,,780,,7800,,,,
4/19/17,P1 Tank ,,10,,,100,,,1000,,10000,,,,
4/19/17,P2 high ,,10,,,380,,,3800,,38000,,,,
4/19/17,P2 low ,,10,,,164,,,1640,,16400,,,,
4/19/17,P2 Tank ,,10,,,228,,,2280,,22800,,,,
4/19/17,P5.5 Town Sump,,10,,,272,,,2720,,27200,,,,
4/19/17,P5.5 Well Sump,,10,,,548,,,5480,,54800,,,,
4/19/17,P6 high ,,10,,,88,,,880,,8800,,,,
4/19/17,P6 low ,,10,,,164,,,1640,,16400,,,,
4/19/17,P6 Tank ,,10,,,164,,,1640,,16400,,,,
4/19/17,P7 High,,10,,,592,,,5920,,59200,,,,
4/19/17,P7 low,,10,,,528,,,5280,,52800,,,,
4/19/17,P7 Tank ,,10,,,784,,,7840,,78400,,,,
4/19/17,River Discharge,,10,,,3088,,,30880,,308800,,,,
4/26/17,A high ,,10,,,132,,,1320,,13200,,,,
4/26/17,A low ,,10,,,1,,,10,,100,,,,
4/26/17,A Tank 1,,10,,,0,,,0,,0,,,,
4/26/17,b bio,,10,,,536,,,5360,,53600,,,,
4/26/17,B high ,,10,,,592,,,5920,,59200,,,,
4/26/17,B low ,,10,,,552,,,5520,,55200,,,,
4/26/17,B Tank 5,,10,,,590,,,5900,,59000,,,,
4/26/17,c bio,,10,,,328,,,3280,,32800,,,,
4/26/17,C high ,,10,,,480,,,4800,,48000,,,,
4/26/17,C low ,,10,,,458,,,4580,,45800,,,,
4/26/17,C Tank 2,,10,,,504,,,5040,,50400,,,,
4/26/17,D high ,,10,,,536,,,5360,,53600,,,,
4/26/17,D low ,,10,,,40,,,400,,4000,,,,
4/26/17,D Tank 2,,10,,,32,,,320,,3200,,,,
4/26/17,D top of Bio,,10,,,28,,,280,,2800,,,,
4/26/17,E Bio North,,10,,,296,,,2960,,29600,,,,
4/26/17,E Bio South,,10,,,198,,,1980,,19800,,,,
4/26/17,E high ,,10,,,304,,,3040,,30400,,,,
4/26/17,E low ,,10,,,128,,,1280,,12800,,,,
4/26/17,E Tank 3,,10,,,184,,,1840,,18400,,,,
4/26/17,F high ,,10,,,528,,,5280,,52800,,,,
4/26/17,F low ,,10,,,298,,,2980,,29800,,,,
4/26/17,F Tank 4,,10,,,328,,,3280,,32800,,,,
4/26/17,Gooseneck tank,,10,,,272,,,2720,,27200,,,,
4/26/17,P1 high ,,10,,,128,,,1280,,12800,,,,
4/26/17,P1 low ,,10,,,112,,,1120,,11200,,,,
4/26/17,P1 Tank ,,10,,,108,,,1080,,10800,,,,
4/26/17,P2 high ,,10,,,40,,,400,,4000,,,,
4/26/17,P2 low ,,10,,,32,,,320,,3200,,,,
4/26/17,P2 Tank ,,10,,,32,,,320,,3200,,,,
4/26/17,P5.5 Town Sump,,10,,,432,,,4320,,43200,,,,
4/26/17,P5.5 Well Sump,,10,,,2496,,,24960,,249600,,,,
4/26/17,P6 high ,,10,,,80,,,800,,8000,,,,
4/26/17,P6 low ,,10,,,42,,,420,,4200,,,,
4/26/17,P6 Tank ,,10,,,E,,,#VALUE!,,#VALUE!,,,,
4/26/17,P7 High,,10,,,464,,,4640,,46400,,,,
4/26/17,P7 low,,10,,,496,,,4960,,49600,,,,
4/26/17,P7 Tank ,,10,,,388,,,3880,,38800,,,,
4/26/17,River Discharge,,10,,,96,,,960,,9600,,,,
5/3/17,A high ,,10,,,108,,,1080,,10800,,,,
5/3/17,A low ,,10,,,0,,,0,,0,,,,
5/3/17,A Tank 1,,10,,,226,,,2260,,22600,,,,
5/3/17,B high ,,10,,,188,,,1880,,18800,,,,
5/3/17,B low ,,10,,,104,,,1040,,10400,,,,
5/3/17,B Tank 5,,10,,,240,,,2400,,24000,,,,
5/3/17,C high ,,10,,,392,,,3920,,39200,,,,
5/3/17,C low ,,10,,,176,,,1760,,17600,,,,
5/3/17,C Tank 2,,10,,,356,,,3560,,35600,,,,
5/3/17,D high ,,10,,,136,,,1360,,13600,,,,
5/3/17,D low ,,10,,,88,,,880,,8800,,,,
5/3/17,D Tank 2,,10,,,208,,,2080,,20800,,,,
5/3/17,E Bio North,,10,,,268,,,2680,,26800,,,,
5/3/17,E Bio South,,10,,,228,,,2280,,22800,,,,
5/3/17,E high ,,10,,,512,,,5120,,51200,,,,
5/3/17,E low ,,10,,,188,,,1880,,18800,,,,
5/3/17,E Tank 4,,10,,,144,,,1440,,14400,,,,
5/3/17,F high ,,10,,,128,,,1280,,12800,,,,
5/3/17,F low ,,10,,,148,,,1480,,14800,,,,
5/3/17,F Tank 2,,10,,,142,,,1420,,14200,,,,
5/3/17,Gooseneck tank,,10,,,96,sm gray (strep like),,960,,9600,,,,
5/3/17,P1 high ,,10,,,184," black colonies, swarmers",,1840,,18400,,,,
5/3/17,P1 low ,,10,,,148,sm gray (strep like),,1480,,14800,,,,
5/3/17,P1 Tank ,,10,,,144,sm gray (strep like),,1440,,14400,,,,
5/3/17,P2 high ,,10,,,132,,,1320,,13200,,,,
5/3/17,P2 low ,,10,,,84,,,840,,8400,,,,
5/3/17,P2 Tank ,,10,,,164,,,1640,,16400,,,,
5/3/17,P5.5 Town Sump,,10,,,736,,,7360,,73600,,,,
5/3/17,P5.5 Well Sump,,10,,,512,,,5120,,51200,,,,
5/3/17,P6 high ,,10,,,88,,,880,,8800,,,,
5/3/17,P6 low ,,10,,,326,,,3260,,32600,,,,
